year,power of the exposure dose of gamma radiation at a height of 1 m from the earths surface_ÂµR/hour,volumetric activity_total beta activity,volumetric activity_radionuclide caesium-137,volumetric activity_radionuclide strontium-90,density of atmospheric fallout_total beta activity_Bk/m2 per day,density of atmospheric fallout_caesium-137_Bk/m2 per month,density of atmospheric fallout_total beta activity_radionuclide strontium-90
1983,1,1,1,1,4.5,1,1
1984,1,1,1,1,4.9,1,1
1985,8,5,1,0.1,5.0,2.3,1.4
1986,4219,9157.4,520,635,10172.3,12333.33,3024.4
1987,188,1709.6,164.4,171.3,215.0,521.9,751.5
1988,103,320.5,58.3,42.9,29.3,307.6,156.5
1989,84,71.4,18.5,13.1,8.5,46.9,28.2
1990,70,25.2,8.40,5.19,4.6,17.5,17.9
1991,55,25.8,10.12,4.61,4.0,17.7,13.3
1992,47,20.7,12.77,7.35,4.9,25.5,20.5
1993,43,23.2,6.39,4.14,4.4,15.1,11.0
1994,37,15.4,3.03,1.73,3.7,12.8,9.2
1995,35,13.3,3.55,0.70,5.0,10.3,4.4
1996,34,37.1,5.09,1.68,4.1,4.5,3.6
1997,31,22.5,7.10,1.01,2.9,8.5,5.9
1998,30,14.3,3.35,0.59,2.9,7.1,3.0
1999,29,13.0,2.94,0.40,2.5,5.8,2.2
2000,28,10.6,3.06,0.50,2.7,4.2,1.9
2001,28,7.5,1.78,0.21,2.5,2.7,1.6
2002,28,7.6,2.49,0.30,2.5,2.5,1.9
2003,26,8.1,3.29,0.24,2.5,1.6,1.9
2004,25,7.5,1.66,0.21,2.5,2.1,1.7
2005,24,11.0,1.87,0.25,2.3,4.4,2.2
2006,24,9.4,1.70,0.17,2.5,1.7,1.8
2007,24,9.7,1.19,0.17,2.4,1.8,1.7
2008,24,11.6,1.28,0.19,2.4,1.9,1.5
2009,23,11.7,1.90,0.20,2.6,2.1,1.5
2010,22,14.5,1.54,0.18,2.3,3.5,1.5
2011,23,11.8,2.19,0.18,2.4,2.4,1.4
2012,21,9.1,6.80,0.18,2.4,9.2,1.4